GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project-hub,de.bushnaq.abdalla.svg.util,ExtendedPolygon,27,0,0,0,12,0,7,0,7,0
project-hub,de.bushnaq.abdalla.svg.util,RectangleWithLink,28,0,0,0,11,0,5,0,5,0
project-hub,de.bushnaq.abdalla.svg.util,ExtendedSvgGraphics2D,397,0,32,0,92,0,24,0,8,0
project-hub,de.bushnaq.abdalla.svg.util,SvgExtendedRectangle,109,0,18,0,32,0,13,0,4,0
project-hub,de.bushnaq.abdalla.svg.util,SvgExtendedPolygon,63,0,12,0,17,0,8,0,2,0
project-hub,de.bushnaq.abdalla.svg.util,ExtendedGraphics2D,672,0,6,0,159,0,93,0,90,0
project-hub,de.bushnaq.abdalla.svg.util,RectangleWithToolTip,28,0,0,0,11,0,5,0,5,0
project-hub,de.bushnaq.abdalla.svg.util,ExtendedSvgShape,56,0,8,0,13,0,6,0,2,0
project-hub,de.bushnaq.abdalla.svg.util,ExtendedRectangle,68,0,0,0,22,0,10,0,10,0
project-hub,de.bushnaq.abdalla.projecthub.report.html.dao,EStatus,21,0,0,0,4,0,1,0,1,0
project-hub,de.bushnaq.abdalla.projecthub.report.html.dao,ReportCell,165,0,14,0,58,0,25,0,18,0
project-hub,de.bushnaq.abdalla.projecthub.report.html.dao,ReportLink,36,0,0,0,12,0,4,0,4,0
project-hub,de.bushnaq.abdalla.projecthub.ui.view,LoginView,113,131,3,3,20,31,3,2,0,2
project-hub,de.bushnaq.abdalla.projecthub.ui.view,TaskListView,690,0,30,0,100,0,32,0,17,0
project-hub,de.bushnaq.abdalla.projecthub.ui.view,OffDayListView,677,0,30,0,137,0,36,0,21,0
project-hub,de.bushnaq.abdalla.projecthub.ui.view,LocationListView,657,0,22,0,136,0,30,0,19,0
project-hub,de.bushnaq.abdalla.projecthub.ui.view,SprintListView,993,0,24,0,144,0,33,0,21,0
project-hub,de.bushnaq.abdalla.projecthub.ui.view,AvailabilityListView,576,0,16,0,113,0,24,0,16,0
project-hub,de.bushnaq.abdalla.projecthub.ui.view,UserListView,671,0,10,0,92,0,23,0,18,0
project-hub,de.bushnaq.abdalla.projecthub.ui.view,VersionListView,662,0,10,0,113,0,22,0,17,0
project-hub,de.bushnaq.abdalla.projecthub.ui.view,ProductListView,41,548,3,5,8,88,4,17,1,16
project-hub,de.bushnaq.abdalla.projecthub.ui.view,SprintQualityBoard,1737,0,23,0,295,0,37,0,24,0
project-hub,de.bushnaq.abdalla.projecthub.ui.view,MainView,51,0,0,0,8,0,2,0,2,0
project-hub,de.bushnaq.abdalla.projecthub.ui.view,FeatureListView,711,0,12,0,122,0,23,0,17,0
project-hub,de.bushnaq.abdalla.projecthub.security,SecurityUser,29,0,0,0,7,0,6,0,6,0
project-hub,de.bushnaq.abdalla.projecthub.security,OidcApiSecurityConfig,136,0,6,0,31,0,14,0,11,0
project-hub,de.bushnaq.abdalla.projecthub.security,SecurityUserDetailsService,15,3,0,0,2,1,2,1,2,1
project-hub,de.bushnaq.abdalla.projecthub.security,SecurityDataInitializer,40,0,2,0,15,0,3,0,2,0
project-hub,de.bushnaq.abdalla.projecthub.security,SecurityConfig,27,315,0,0,9,57,3,15,3,15
project-hub,de.bushnaq.abdalla.projecthub.security,SecurityUtils,58,3,8,0,19,1,11,1,7,1
project-hub,de.bushnaq.abdalla.projecthub.security,OidcSecurityConfig,325,0,14,0,61,0,19,0,12,0
project-hub,de.bushnaq.abdalla.projecthub.dto,TaskMode,3,25,0,0,1,6,1,2,1,2
project-hub,de.bushnaq.abdalla.projecthub.dto,Product,49,4,2,0,13,1,7,1,6,1
project-hub,de.bushnaq.abdalla.projecthub.dto,OffDay,22,0,0,0,7,0,3,0,3,0
project-hub,de.bushnaq.abdalla.projecthub.dto,Feature,53,0,2,0,14,0,8,0,7,0
project-hub,de.bushnaq.abdalla.projecthub.dto,AbstractTimeAware,0,3,0,0,0,1,0,1,0,1
project-hub,de.bushnaq.abdalla.projecthub.dto,Relation,16,0,0,0,5,0,2,0,2,0
project-hub,de.bushnaq.abdalla.projecthub.dto,OffDayType,0,27,0,0,0,4,0,1,0,1
project-hub,de.bushnaq.abdalla.projecthub.dto,Availability,19,0,0,0,6,0,3,0,3,0
project-hub,de.bushnaq.abdalla.projecthub.dto,Task,145,0,14,0,39,0,20,0,13,0
project-hub,de.bushnaq.abdalla.projecthub.dto,User,318,0,24,0,75,0,24,0,12,0
project-hub,de.bushnaq.abdalla.projecthub.dto,Status,0,21,0,0,0,4,0,1,0,1
project-hub,de.bushnaq.abdalla.projecthub.dto,AbstractDateRange,3,0,0,0,1,0,1,0,1,0
project-hub,de.bushnaq.abdalla.projecthub.dto,Location,22,0,0,0,7,0,3,0,3,0
project-hub,de.bushnaq.abdalla.projecthub.dto,Worklog,6,0,0,0,1,0,1,0,1,0
project-hub,de.bushnaq.abdalla.projecthub.dto,Sprint,735,0,92,0,147,0,72,0,26,0
project-hub,de.bushnaq.abdalla.projecthub.dto,Version,54,0,2,0,14,0,8,0,7,0
project-hub,de.bushnaq.abdalla.projecthub.rest.debug,JsonResponseLogger,48,30,5,5,7,10,4,5,0,4
project-hub,de.bushnaq.abdalla.projecthub.rest.debug,RequestLoggingFilter,19,34,2,2,3,11,3,4,1,4
project-hub,de.bushnaq.abdalla.projecthub.rest.debug,RequestLoggingFilter.CachedBodyHttpServletRequest,0,47,0,0,0,9,0,4,0,4
project-hub,de.bushnaq.abdalla.projecthub.rest.debug,DebugUtil,24,6,0,0,6,2,1,2,1,2
project-hub,de.bushnaq.abdalla.projecthub.rest.debug,RequestLoggingFilter.CachedBodyHttpServletRequest.new ServletInputStream() {...},11,10,2,0,3,2,4,2,3,2
project-hub,de.bushnaq.abdalla.projecthub.report.burndown,BurnDownChart,79,0,0,0,9,0,2,0,2,0
project-hub,de.bushnaq.abdalla.projecthub.report.burndown,RenderDao,3,0,0,0,1,0,1,0,1,0
project-hub,de.bushnaq.abdalla.projecthub.report.burndown,DayWork,121,0,8,0,26,0,9,0,5,0
project-hub,de.bushnaq.abdalla.projecthub.report.burndown,BurnDownRenderer,2776,0,242,0,419,0,149,0,28,0
project-hub,de.bushnaq.abdalla.projecthub.rest,JacksonConfig.new WebMvcConfigurer() {...},0,26,0,0,0,6,0,3,0,3
project-hub,de.bushnaq.abdalla.projecthub.rest,JacksonConfig,0,128,0,0,0,24,0,3,0,3
project-hub,de.bushnaq.abdalla.projecthub.rest,RestClientConfig,0,15,0,0,0,4,0,2,0,2
project-hub,de.bushnaq.abdalla.projecthub.rest,ColorSerializer,20,3,2,0,6,1,2,1,1,1
project-hub,de.bushnaq.abdalla.projecthub.rest,ErrorResponse,125,239,22,22,29,57,19,9,0,6
project-hub,de.bushnaq.abdalla.projecthub.rest,GlobalExceptionHandler,49,35,0,0,6,5,3,3,3,3
project-hub,de.bushnaq.abdalla.projecthub.rest,ColorDeserializer,42,3,6,0,8,1,4,1,1,1
project-hub,de.bushnaq.abdalla.projecthub.rest,OffsetDateTimeDeserializer,14,6,2,0,4,2,2,2,1,2
project-hub,de.bushnaq.abdalla.projecthub.rest,OffsetDateTimeSerializer,13,6,2,0,4,2,2,2,1,2
